[2026-02-16T18:15:09.688Z] AUTH FAILED: No token or Bearer header
[2026-02-17T09:40:47.097Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:41:20.454Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:41:20.456Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:41:20.462Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:41:20.470Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:45:46.823Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:45:47.005Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:45:56.622Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:45:56.632Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:50:43.974Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:53:10.713Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:53:10.737Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:53:11.986Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:53:11.988Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:53:11.992Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:53:12.001Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:53:17.029Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:53:17.031Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T09:53:17.032Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:53:17.037Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:53:17.040Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T09:53:17.046Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T09:54:57.288Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
